"B" "Temp" "a" "erg" "s" "s-erg*temp"
"0.1" "0.92" "0.0083333333333333" "2.71264257988837" "1.9741757410922" "-0.521455432405095"
"0.1" "0.92" "0.01" "2.54876299214498" "1.97419230760661" "-0.370669645166773"
"0.1" "0.92" "0.01" "2.54876176088219" "1.9741923041499" "-0.370668515861714"
"0.1" "0.92" "0.02" "2.14057865574486" "1.97430374547778" "0.00497138219250526"
"0.1" "0.93" "0.0066666666666667" "2.9669602424603" "1.95385853647615" "-0.805414489011931"
"0.1" "0.93" "0.0083333333333333" "2.72076359764726" "1.95386697624314" "-0.576443169568808"
"0.1" "0.93" "0.01" "2.55690615347704" "1.95388125664311" "-0.424041466090543"
"0.1" "0.93" "0.01" "2.55690615336351" "1.95388125664288" "-0.424041465985181"
"0.1" "0.93" "0.02" "2.14870721861042" "1.95397883520133" "-0.044318878106365"
"0.1" "0.94" "0.0066666666666667" "2.97475747047336" "1.93389170492425" "-0.862380317320707"
"0.1" "0.94" "0.0083333333333333" "2.72861080934454" "1.93389845579243" "-0.63099570499143"
"0.1" "0.94" "0.01" "2.5647744733141" "1.93391065912653" "-0.476977345788723"
"0.1" "0.94" "0.01" "2.56477447311258" "1.93391065912582" "-0.476977345600004"
"0.1" "0.94" "0.02" "2.15656134188218" "1.93399555196873" "-0.0931721094005138"
"0.1" "0.95" "0.0066666666666667" "2.98229753337365" "1.91425832386207" "-0.918924332842895"
"0.1" "0.95" "0.0083333333333333" "2.73619817194722" "1.91426354898032" "-0.685124714369535"
"0.1" "0.95" "0.01" "2.57238193436389" "1.91427386477276" "-0.529488972872938"
"0.1" "0.95" "0.01" "2.57238193397759" "1.91427386477136" "-0.529488972507347"
"0.1" "0.95" "0.02" "2.16415599597478" "1.91434714333766" "-0.141601052838385"
"0.1" "0.96" "0.0066666666666667" "2.98959482520911" "1.89495182130711" "-0.975059210893634"
"0.1" "0.96" "0.0083333333333333" "2.74354016135465" "1.89495566683649" "-0.738842888063972"
"0.1" "0.96" "0.01" "2.57974302052416" "1.89496426591794" "-0.581589033785256"
"0.1" "0.96" "0.02" "2.17150547086481" "1.89502690639681" "-0.18961834563341"
"0.1" "0.97" "0.0066666666666667" "2.99666337241356" "1.8759656753593" "-1.03079779588185"
"0.1" "0.97" "0.0083333333333333" "2.75065084804924" "1.87596827248148" "-0.79216305012629"
"0.1" "0.97" "0.01" "2.58687179500191" "1.87597530906195" "-0.633290332089901"
"0.1" "0.97" "0.02" "2.17862363246389" "1.87602820165105" "-0.237236721838921"
"0.1" "0.98" "0.0066666666666667" "3.00351711839649" "1.85729342734115" "-1.08615334868741"
